periodo;ordem_mes;armazem;uf;estoque_inicial_loja;estoque_loja;devol_cd;acuracia_estoque
MAI/2026;5;LOJA JACAREZINHO;SP-ORN;30;12;18;0,6
MAI/2026;5;LOJA CAMBARA;SP-ORN;30;12;18;0,6
MAI/2026;5;LOJA ASSIS;SP-ORN;58;16;42;0,724137931
MAI/2026;5;LOJA ITARARE;SP-ORN;25;6;19;0,76
MAI/2026;5;LOJA CHAVANTES;SP-ORN;9;2;7;0,777777778
MAI/2026;5;LOJA SANTA MARIANA;SP-ORN;5;1;4;0,8
MAI/2026;5;LOJA CORNELIO PROCOPIO;SP-ORN;6;1;5;0,833333333
MAI/2026;5;LOJA PARAPUA;SP-ORN;7;1;6;0,857142857
MAI/2026;5;LOJA RIBEIRAO CLARO;SP-ORN;8;1;7;0,875
MAI/2026;5;LOJA IBIRAREMA;SP-ORN;4;0;4;1
MAI/2026;5;LOJA MONTE MOR;SP-SOC;13;0;13;1
